Points_0,Points_1,Points_2,uy
0,0.5,0.5,0.000984837
0.008,0.5,0.5,0.00285696
0.016,0.5,0.5,0.00453351
0.024,0.5,0.5,0.00600372
0.032,0.5,0.5,0.00726772
0.04,0.5,0.5,0.00833789
0.048,0.5,0.5,0.00923152
0.056,0.5,0.5,0.00995405
0.064,0.5,0.5,0.0105254
0.072,0.5,0.5,0.0109727
0.08,0.5,0.5,0.0113142
0.088,0.5,0.5,0.011553
0.096,0.5,0.5,0.0117077
0.104,0.5,0.5,0.0117966
0.112,0.5,0.5,0.0118218
0.12,0.5,0.5,0.0117816
0.128,0.5,0.5,0.0116938
0.136,0.5,0.5,0.0115676
0.144,0.5,0.5,0.0113988
0.152,0.5,0.5,0.0111912
0.16,0.5,0.5,0.0109622
0.168,0.5,0.5,0.0107144
0.176,0.5,0.5,0.0104425
0.184,0.5,0.5,0.0101564
0.192,0.5,0.5,0.00986944
0.2,0.5,0.5,0.0095766
0.208,0.5,0.5,0.00927475
0.216,0.5,0.5,0.00897645
0.224,0.5,0.5,0.00868693
0.232,0.5,0.5,0.0083963
0.24,0.5,0.5,0.00810724
0.248,0.5,0.5,0.00783098
0.256,0.5,0.5,0.00756368
0.264,0.5,0.5,0.00729674
0.272,0.5,0.5,0.00703831
0.28,0.5,0.5,0.00679392
0.288,0.5,0.5,0.00655412
0.296,0.5,0.5,0.00631705
0.304,0.5,0.5,0.00609157
0.312,0.5,0.5,0.00587614
0.32,0.5,0.5,0.0056618
0.328,0.5,0.5,0.00545289
0.336,0.5,0.5,0.00506296
0.344,0.5,0.5,0.00487055
0.352,0.5,0.5,0.00468544
0.36,0.5,0.5,0.00450821
0.368,0.5,0.5,0.00433128
0.376,0.5,0.5,0.00415639
0.384,0.5,0.5,0.00398881
0.392,0.5,0.5,0.00382499
0.4,0.5,0.5,0.00366089
0.408,0.5,0.5,0.00350015
0.416,0.5,0.5,0.00334499
0.424,0.5,0.5,0.00319021
0.432,0.5,0.5,0.00303574
0.44,0.5,0.5,0.00288504
0.448,0.5,0.5,0.00273716
0.456,0.5,0.5,0.0025886
0.464,0.5,0.5,0.00244132
0.472,0.5,0.5,0.00229745
0.48,0.5,0.5,0.00215462
0.488,0.5,0.5,0.00201073
0.496,0.5,0.5,0.00186852
0.504,0.5,0.5,0.00172872
0.512,0.5,0.5,0.00158831
0.52,0.5,0.5,0.00144654
0.528,0.5,0.5,0.00130683
0.536,0.5,0.5,0.00116827
0.544,0.5,0.5,0.00102775
0.552,0.5,0.5,0.000886313
0.56,0.5,0.5,0.000747432
0.568,0.5,0.5,0.000607711
0.576,0.5,0.5,0.000464903
0.584,0.5,0.5,0.000322717
0.592,0.5,0.5,0.000182469
0.6,0.5,0.5,3.75335e-05
0.608,0.5,0.5,-0.00010984
0.616,0.5,0.5,-0.000255134
0.624,0.5,0.5,-0.000402379
0.632,0.5,0.5,-0.000556485
0.64,0.5,0.5,-0.000711154
0.648,0.5,0.5,-0.000864779
0.656,0.5,0.5,-0.00102575
0.664,0.5,0.5,-0.00119354
0.672,0.5,0.5,-0.00153286
0.68,0.5,0.5,-0.00171791
0.688,0.5,0.5,-0.00190789
0.696,0.5,0.5,-0.00210144
0.704,0.5,0.5,-0.002312
0.712,0.5,0.5,-0.00253793
0.72,0.5,0.5,-0.00277202
0.728,0.5,0.5,-0.00302523
0.736,0.5,0.5,-0.00330893
0.744,0.5,0.5,-0.00361512
0.752,0.5,0.5,-0.0039478
0.76,0.5,0.5,-0.00432706
0.768,0.5,0.5,-0.00475445
0.776,0.5,0.5,-0.00522549
0.784,0.5,0.5,-0.00576157
0.792,0.5,0.5,-0.00637799
0.8,0.5,0.5,-0.00706838
0.808,0.5,0.5,-0.00784241
0.816,0.5,0.5,-0.00872396
0.824,0.5,0.5,-0.00970708
0.832,0.5,0.5,-0.0107803
0.84,0.5,0.5,-0.0119545
0.848,0.5,0.5,-0.0132187
0.856,0.5,0.5,-0.0145283
0.864,0.5,0.5,-0.0158566
0.872,0.5,0.5,-0.0171685
0.88,0.5,0.5,-0.0183881
0.888,0.5,0.5,-0.0194367
0.896,0.5,0.5,-0.0202567
0.904,0.5,0.5,-0.0207658
0.912,0.5,0.5,-0.0208806
0.92,0.5,0.5,-0.02056
0.928,0.5,0.5,-0.0197906
0.936,0.5,0.5,-0.0185595
0.944,0.5,0.5,-0.0169038
0.952,0.5,0.5,-0.0149073
0.96,0.5,0.5,-0.0126577
0.968,0.5,0.5,-0.010239
0.976,0.5,0.5,-0.00777352
0.984,0.5,0.5,-0.00536862
0.992,0.5,0.5,-0.00308932
1,0.5,0.5,-0.000992757
