Points_0,Points_1,Points_2,uy
0,0.5,0.5,0.00100118
0.008,0.5,0.5,0.0028941
0.016,0.5,0.5,0.00458374
0.024,0.5,0.5,0.0060664
0.032,0.5,0.5,0.007343
0.04,0.5,0.5,0.008421
0.048,0.5,0.5,0.00931259
0.056,0.5,0.5,0.0100348
0.064,0.5,0.5,0.0106068
0.072,0.5,0.5,0.0110485
0.08,0.5,0.5,0.0113781
0.088,0.5,0.5,0.0116116
0.096,0.5,0.5,0.011762
0.104,0.5,0.5,0.0118399
0.112,0.5,0.5,0.011854
0.12,0.5,0.5,0.011812
0.128,0.5,0.5,0.0117205
0.136,0.5,0.5,0.0115853
0.144,0.5,0.5,0.0114128
0.152,0.5,0.5,0.0112088
0.16,0.5,0.5,0.0109784
0.168,0.5,0.5,0.010727
0.176,0.5,0.5,0.0104592
0.184,0.5,0.5,0.0101792
0.192,0.5,0.5,0.00989152
0.2,0.5,0.5,0.00959927
0.208,0.5,0.5,0.009305
0.216,0.5,0.5,0.00901119
0.224,0.5,0.5,0.00871988
0.232,0.5,0.5,0.00843299
0.24,0.5,0.5,0.00815108
0.248,0.5,0.5,0.00787535
0.256,0.5,0.5,0.0076062
0.264,0.5,0.5,0.00734399
0.272,0.5,0.5,0.0070893
0.28,0.5,0.5,0.00684205
0.288,0.5,0.5,0.00660192
0.296,0.5,0.5,0.00636903
0.304,0.5,0.5,0.00614304
0.312,0.5,0.5,0.00592385
0.32,0.5,0.5,0.00571091
0.328,0.5,0.5,0.00550384
0.336,0.5,0.5,0.00510657
0.344,0.5,0.5,0.00491588
0.352,0.5,0.5,0.00472993
0.36,0.5,0.5,0.00454832
0.368,0.5,0.5,0.00437068
0.376,0.5,0.5,0.00419681
0.384,0.5,0.5,0.00402647
0.392,0.5,0.5,0.00385941
0.4,0.5,0.5,0.00369541
0.408,0.5,0.5,0.0035339
0.416,0.5,0.5,0.00337532
0.424,0.5,0.5,0.00321893
0.432,0.5,0.5,0.00306446
0.44,0.5,0.5,0.00291196
0.448,0.5,0.5,0.00276103
0.456,0.5,0.5,0.00261174
0.464,0.5,0.5,0.0024639
0.472,0.5,0.5,0.00231744
0.48,0.5,0.5,0.00217225
0.488,0.5,0.5,0.00202794
0.496,0.5,0.5,0.00188456
0.504,0.5,0.5,0.00174182
0.512,0.5,0.5,0.00159994
0.52,0.5,0.5,0.00145842
0.528,0.5,0.5,0.00131723
0.536,0.5,0.5,0.00117626
0.544,0.5,0.5,0.00103543
0.552,0.5,0.5,0.000894349
0.56,0.5,0.5,0.000753229
0.568,0.5,0.5,0.000611591
0.576,0.5,0.5,0.000469615
0.584,0.5,0.5,0.000326833
0.592,0.5,0.5,0.000183166
0.6,0.5,0.5,3.80791e-05
0.608,0.5,0.5,-0.000108019
0.616,0.5,0.5,-0.000255923
0.624,0.5,0.5,-0.000405705
0.632,0.5,0.5,-0.000557203
0.64,0.5,0.5,-0.000711406
0.648,0.5,0.5,-0.000868761
0.656,0.5,0.5,-0.00102967
0.664,0.5,0.5,-0.00119428
0.672,0.5,0.5,-0.00153797
0.68,0.5,0.5,-0.00171911
0.688,0.5,0.5,-0.00190775
0.696,0.5,0.5,-0.00210543
0.704,0.5,0.5,-0.00231416
0.712,0.5,0.5,-0.00253552
0.72,0.5,0.5,-0.00277241
0.728,0.5,0.5,-0.00302813
0.736,0.5,0.5,-0.00330596
0.744,0.5,0.5,-0.00361075
0.752,0.5,0.5,-0.00394748
0.76,0.5,0.5,-0.00432261
0.768,0.5,0.5,-0.00474315
0.776,0.5,0.5,-0.00521688
0.784,0.5,0.5,-0.00575289
0.792,0.5,0.5,-0.00636066
0.8,0.5,0.5,-0.00704946
0.808,0.5,0.5,-0.00782794
0.816,0.5,0.5,-0.00870379
0.824,0.5,0.5,-0.0096818
0.832,0.5,0.5,-0.0107627
0.84,0.5,0.5,-0.0119412
0.848,0.5,0.5,-0.0132037
0.856,0.5,0.5,-0.0145268
0.864,0.5,0.5,-0.0158743
0.872,0.5,0.5,-0.0171978
0.88,0.5,0.5,-0.0184356
0.888,0.5,0.5,-0.0195149
0.896,0.5,0.5,-0.0203569
0.904,0.5,0.5,-0.0208822
0.912,0.5,0.5,-0.02102
0.92,0.5,0.5,-0.0207172
0.928,0.5,0.5,-0.0199468
0.936,0.5,0.5,-0.0187138
0.944,0.5,0.5,-0.0170564
0.952,0.5,0.5,-0.0150435
0.96,0.5,0.5,-0.0127668
0.968,0.5,0.5,-0.0103318
0.976,0.5,0.5,-0.00784611
0.984,0.5,0.5,-0.00540991
0.992,0.5,0.5,-0.00310633
1,0.5,0.5,-0.000996208
