Points_0,Points_1,Points_2,ux
0.5,0,0.5,-0.000940267
0.5,0.008,0.5,-0.00273103
0.5,0.016,0.5,-0.00435689
0.5,0.024,0.5,-0.0058159
0.5,0.032,0.5,-0.00710946
0.5,0.04,0.5,-0.00824494
0.5,0.048,0.5,-0.00923382
0.5,0.056,0.5,-0.0100902
0.5,0.064,0.5,-0.0108289
0.5,0.072,0.5,-0.0114622
0.5,0.08,0.5,-0.0120006
0.5,0.088,0.5,-0.0124503
0.5,0.096,0.5,-0.0128149
0.5,0.104,0.5,-0.0130958
0.5,0.112,0.5,-0.0132929
0.5,0.12,0.5,-0.0134067
0.5,0.128,0.5,-0.0134379
0.5,0.136,0.5,-0.0133877
0.5,0.144,0.5,-0.0132596
0.5,0.152,0.5,-0.0130584
0.5,0.16,0.5,-0.0127903
0.5,0.168,0.5,-0.0124613
0.5,0.176,0.5,-0.0120799
0.5,0.184,0.5,-0.0116544
0.5,0.192,0.5,-0.0111929
0.5,0.2,0.5,-0.0107039
0.5,0.208,0.5,-0.0101956
0.5,0.216,0.5,-0.0096754
0.5,0.224,0.5,-0.00914992
0.5,0.232,0.5,-0.00862553
0.5,0.24,0.5,-0.00810723
0.5,0.248,0.5,-0.00759947
0.5,0.256,0.5,-0.00710565
0.5,0.264,0.5,-0.00662864
0.5,0.272,0.5,-0.00617038
0.5,0.28,0.5,-0.00573211
0.5,0.288,0.5,-0.00531462
0.5,0.296,0.5,-0.00491839
0.5,0.304,0.5,-0.00454338
0.5,0.312,0.5,-0.00418904
0.5,0.32,0.5,-0.00385507
0.5,0.328,0.5,-0.00354054
0.5,0.336,0.5,-0.00296583
0.5,0.344,0.5,-0.00270367
0.5,0.352,0.5,-0.002457
0.5,0.36,0.5,-0.00222478
0.5,0.368,0.5,-0.00200556
0.5,0.376,0.5,-0.00179895
0.5,0.384,0.5,-0.00160351
0.5,0.392,0.5,-0.00141855
0.5,0.4,0.5,-0.00124307
0.5,0.408,0.5,-0.00107618
0.5,0.416,0.5,-0.000917242
0.5,0.424,0.5,-0.000765669
0.5,0.432,0.5,-0.000620766
0.5,0.44,0.5,-0.000481341
0.5,0.448,0.5,-0.000347489
0.5,0.456,0.5,-0.000218414
0.5,0.464,0.5,-9.37806e-05
0.5,0.472,0.5,2.71253e-05
0.5,0.48,0.5,0.000144706
0.5,0.488,0.5,0.000259118
0.5,0.496,0.5,0.000370708
0.5,0.504,0.5,0.00048015
0.5,0.512,0.5,0.000587475
0.5,0.52,0.5,0.000692999
0.5,0.528,0.5,0.000797512
0.5,0.536,0.5,0.000900439
0.5,0.544,0.5,0.00100246
0.5,0.552,0.5,0.00110351
0.5,0.56,0.5,0.00120405
0.5,0.568,0.5,0.00130412
0.5,0.576,0.5,0.00140401
0.5,0.584,0.5,0.00150375
0.5,0.592,0.5,0.00160366
0.5,0.6,0.5,0.00170363
0.5,0.608,0.5,0.00180385
0.5,0.616,0.5,0.00190456
0.5,0.624,0.5,0.00200591
0.5,0.632,0.5,0.00210788
0.5,0.64,0.5,0.00221031
0.5,0.648,0.5,0.0023139
0.5,0.656,0.5,0.00241862
0.5,0.664,0.5,0.00252474
0.5,0.672,0.5,0.00274039
0.5,0.68,0.5,0.00285045
0.5,0.688,0.5,0.00296211
0.5,0.696,0.5,0.00307555
0.5,0.704,0.5,0.00319103
0.5,0.712,0.5,0.0033086
0.5,0.72,0.5,0.00342845
0.5,0.728,0.5,0.00355075
0.5,0.736,0.5,0.00367538
0.5,0.744,0.5,0.00380302
0.5,0.752,0.5,0.00393341
0.5,0.76,0.5,0.00406706
0.5,0.768,0.5,0.00420411
0.5,0.776,0.5,0.00434497
0.5,0.784,0.5,0.00448994
0.5,0.792,0.5,0.00463913
0.5,0.8,0.5,0.00479298
0.5,0.808,0.5,0.00495218
0.5,0.816,0.5,0.00511694
0.5,0.824,0.5,0.0052878
0.5,0.832,0.5,0.00546554
0.5,0.84,0.5,0.0056514
0.5,0.848,0.5,0.00584665
0.5,0.856,0.5,0.00605322
0.5,0.864,0.5,0.00627389
0.5,0.872,0.5,0.00651386
0.5,0.88,0.5,0.0067796
0.5,0.888,0.5,0.00708141
0.5,0.896,0.5,0.0074354
0.5,0.904,0.5,0.00786489
0.5,0.912,0.5,0.00840419
0.5,0.92,0.5,0.00910206
0.5,0.928,0.5,0.0100265
0.5,0.936,0.5,0.0112677
0.5,0.944,0.5,0.0129408
0.5,0.952,0.5,0.0151834
0.5,0.96,0.5,0.0181464
0.5,0.968,0.5,0.0219724
0.5,0.976,0.5,0.0267612
0.5,0.984,0.5,0.0325248
0.5,0.992,0.5,0.0391396
0.5,1,0.5,0.0463199
