Points_0,Points_1,Points_2,uy
0,0.5,0.5,0.000681039
0.008,0.5,0.5,0.00197396
0.016,0.5,0.5,0.00315292
0.024,0.5,0.5,0.00422058
0.032,0.5,0.5,0.00517966
0.04,0.5,0.5,0.0060339
0.048,0.5,0.5,0.00678712
0.056,0.5,0.5,0.00744412
0.064,0.5,0.5,0.00801049
0.072,0.5,0.5,0.00849224
0.08,0.5,0.5,0.00889601
0.088,0.5,0.5,0.00922889
0.096,0.5,0.5,0.00949755
0.104,0.5,0.5,0.00970884
0.112,0.5,0.5,0.00986927
0.12,0.5,0.5,0.00998498
0.128,0.5,0.5,0.0100618
0.136,0.5,0.5,0.0101048
0.144,0.5,0.5,0.0101186
0.152,0.5,0.5,0.0101073
0.16,0.5,0.5,0.0100743
0.168,0.5,0.5,0.0100229
0.176,0.5,0.5,0.00995542
0.184,0.5,0.5,0.00987435
0.192,0.5,0.5,0.00978152
0.2,0.5,0.5,0.00967866
0.208,0.5,0.5,0.00956696
0.216,0.5,0.5,0.00944772
0.224,0.5,0.5,0.00932201
0.232,0.5,0.5,0.0091908
0.24,0.5,0.5,0.00905475
0.248,0.5,0.5,0.00891451
0.256,0.5,0.5,0.00877058
0.264,0.5,0.5,0.00862337
0.272,0.5,0.5,0.00847332
0.28,0.5,0.5,0.00832088
0.288,0.5,0.5,0.00816598
0.296,0.5,0.5,0.00800904
0.304,0.5,0.5,0.00785004
0.312,0.5,0.5,0.00768936
0.32,0.5,0.5,0.00752693
0.328,0.5,0.5,0.00736273
0.336,0.5,0.5,0.00702965
0.344,0.5,0.5,0.00686058
0.352,0.5,0.5,0.00668988
0.36,0.5,0.5,0.00651741
0.368,0.5,0.5,0.00634308
0.376,0.5,0.5,0.00616682
0.384,0.5,0.5,0.00598864
0.392,0.5,0.5,0.00580848
0.4,0.5,0.5,0.00562597
0.408,0.5,0.5,0.00544116
0.416,0.5,0.5,0.00525397
0.424,0.5,0.5,0.00506418
0.432,0.5,0.5,0.00487183
0.44,0.5,0.5,0.00467652
0.448,0.5,0.5,0.00447828
0.456,0.5,0.5,0.00427692
0.464,0.5,0.5,0.00407227
0.472,0.5,0.5,0.00386398
0.48,0.5,0.5,0.00365212
0.488,0.5,0.5,0.00343645
0.496,0.5,0.5,0.00321665
0.504,0.5,0.5,0.00299259
0.512,0.5,0.5,0.00276393
0.52,0.5,0.5,0.00253054
0.528,0.5,0.5,0.00229197
0.536,0.5,0.5,0.00204804
0.544,0.5,0.5,0.00179823
0.552,0.5,0.5,0.00154244
0.56,0.5,0.5,0.00127977
0.568,0.5,0.5,0.00101014
0.576,0.5,0.5,0.000732978
0.584,0.5,0.5,0.000447416
0.592,0.5,0.5,0.000152999
0.6,0.5,0.5,-0.000151006
0.608,0.5,0.5,-0.000465626
0.616,0.5,0.5,-0.000791531
0.624,0.5,0.5,-0.0011299
0.632,0.5,0.5,-0.00148186
0.64,0.5,0.5,-0.00184861
0.648,0.5,0.5,-0.00223152
0.656,0.5,0.5,-0.00263186
0.664,0.5,0.5,-0.0030514
0.672,0.5,0.5,-0.0039541
0.68,0.5,0.5,-0.00444058
0.688,0.5,0.5,-0.00495284
0.696,0.5,0.5,-0.00549228
0.704,0.5,0.5,-0.00606044
0.712,0.5,0.5,-0.00665887
0.72,0.5,0.5,-0.0072879
0.728,0.5,0.5,-0.00794815
0.736,0.5,0.5,-0.00863947
0.744,0.5,0.5,-0.00936062
0.752,0.5,0.5,-0.0101096
0.76,0.5,0.5,-0.0108833
0.768,0.5,0.5,-0.011677
0.776,0.5,0.5,-0.0124846
0.784,0.5,0.5,-0.0132979
0.792,0.5,0.5,-0.014107
0.8,0.5,0.5,-0.0149003
0.808,0.5,0.5,-0.0156637
0.816,0.5,0.5,-0.0163818
0.824,0.5,0.5,-0.0170373
0.832,0.5,0.5,-0.0176116
0.84,0.5,0.5,-0.0180861
0.848,0.5,0.5,-0.0184415
0.856,0.5,0.5,-0.01866
0.864,0.5,0.5,-0.0187254
0.872,0.5,0.5,-0.0186246
0.88,0.5,0.5,-0.0183482
0.888,0.5,0.5,-0.0178912
0.896,0.5,0.5,-0.0172541
0.904,0.5,0.5,-0.0164427
0.912,0.5,0.5,-0.0154684
0.92,0.5,0.5,-0.0143478
0.928,0.5,0.5,-0.0131017
0.936,0.5,0.5,-0.0117545
0.944,0.5,0.5,-0.0103338
0.952,0.5,0.5,-0.00886765
0.96,0.5,0.5,-0.00738439
0.968,0.5,0.5,-0.00591125
0.976,0.5,0.5,-0.00447356
0.984,0.5,0.5,-0.0030932
0.992,0.5,0.5,-0.00178916
1,0.5,0.5,-0.000576257
