Points_0,Points_1,Points_2,ux
0.5,0,0.5,-0.000375563
0.5,0.008,0.5,-0.00110171
0.5,0.016,0.5,-0.0017896
0.5,0.024,0.5,-0.00244194
0.5,0.032,0.5,-0.00306161
0.5,0.04,0.5,-0.00365112
0.5,0.048,0.5,-0.00421281
0.5,0.056,0.5,-0.00474866
0.5,0.064,0.5,-0.00526106
0.5,0.072,0.5,-0.00575159
0.5,0.08,0.5,-0.00622175
0.5,0.088,0.5,-0.0066729
0.5,0.096,0.5,-0.00710614
0.5,0.104,0.5,-0.00752233
0.5,0.112,0.5,-0.00792177
0.5,0.12,0.5,-0.00830433
0.5,0.128,0.5,-0.00867042
0.5,0.136,0.5,-0.00901916
0.5,0.144,0.5,-0.00934999
0.5,0.152,0.5,-0.00966212
0.5,0.16,0.5,-0.00995413
0.5,0.168,0.5,-0.0102253
0.5,0.176,0.5,-0.010474
0.5,0.184,0.5,-0.0106993
0.5,0.192,0.5,-0.0108997
0.5,0.2,0.5,-0.0110744
0.5,0.208,0.5,-0.011222
0.5,0.216,0.5,-0.0113418
0.5,0.224,0.5,-0.011433
0.5,0.232,0.5,-0.0114949
0.5,0.24,0.5,-0.0115272
0.5,0.248,0.5,-0.0115296
0.5,0.256,0.5,-0.0115023
0.5,0.264,0.5,-0.0114455
0.5,0.272,0.5,-0.0113597
0.5,0.28,0.5,-0.0112455
0.5,0.288,0.5,-0.0111041
0.5,0.296,0.5,-0.0109364
0.5,0.304,0.5,-0.0107438
0.5,0.312,0.5,-0.0105277
0.5,0.32,0.5,-0.0102899
0.5,0.328,0.5,-0.0100319
0.5,0.336,0.5,-0.00946268
0.5,0.344,0.5,-0.00915537
0.5,0.352,0.5,-0.00883551
0.5,0.36,0.5,-0.00850502
0.5,0.368,0.5,-0.00816545
0.5,0.376,0.5,-0.00781885
0.5,0.384,0.5,-0.007467
0.5,0.392,0.5,-0.00711142
0.5,0.4,0.5,-0.00675382
0.5,0.408,0.5,-0.00639554
0.5,0.416,0.5,-0.00603792
0.5,0.424,0.5,-0.00568197
0.5,0.432,0.5,-0.00532893
0.5,0.44,0.5,-0.00497985
0.5,0.448,0.5,-0.00463535
0.5,0.456,0.5,-0.00429633
0.5,0.464,0.5,-0.00396341
0.5,0.472,0.5,-0.00363703
0.5,0.48,0.5,-0.0033175
0.5,0.488,0.5,-0.00300525
0.5,0.496,0.5,-0.00270034
0.5,0.504,0.5,-0.00240311
0.5,0.512,0.5,-0.00211351
0.5,0.52,0.5,-0.00183161
0.5,0.528,0.5,-0.00155749
0.5,0.536,0.5,-0.00129084
0.5,0.544,0.5,-0.00103172
0.5,0.552,0.5,-0.000779704
0.5,0.56,0.5,-0.000534684
0.5,0.568,0.5,-0.000296532
0.5,0.576,0.5,-6.48688e-05
0.5,0.584,0.5,0.000160567
0.5,0.592,0.5,0.000380079
0.5,0.6,0.5,0.000593917
0.5,0.608,0.5,0.000802392
0.5,0.616,0.5,0.00100586
0.5,0.624,0.5,0.00120479
0.5,0.632,0.5,0.00139936
0.5,0.64,0.5,0.00158978
0.5,0.648,0.5,0.00177664
0.5,0.656,0.5,0.00196026
0.5,0.664,0.5,0.00214091
0.5,0.672,0.5,0.00249462
0.5,0.68,0.5,0.00266857
0.5,0.688,0.5,0.00284069
0.5,0.696,0.5,0.00301173
0.5,0.704,0.5,0.00318171
0.5,0.712,0.5,0.00335111
0.5,0.72,0.5,0.00352042
0.5,0.728,0.5,0.00368988
0.5,0.736,0.5,0.00386004
0.5,0.744,0.5,0.00403106
0.5,0.752,0.5,0.00420355
0.5,0.76,0.5,0.00437809
0.5,0.768,0.5,0.0045553
0.5,0.776,0.5,0.00473592
0.5,0.784,0.5,0.00492089
0.5,0.792,0.5,0.00511128
0.5,0.8,0.5,0.0053088
0.5,0.808,0.5,0.0055153
0.5,0.816,0.5,0.00573327
0.5,0.824,0.5,0.00596598
0.5,0.832,0.5,0.0062176
0.5,0.84,0.5,0.00649392
0.5,0.848,0.5,0.00680204
0.5,0.856,0.5,0.00715121
0.5,0.864,0.5,0.00755329
0.5,0.872,0.5,0.00802325
0.5,0.88,0.5,0.00857939
0.5,0.888,0.5,0.0092444
0.5,0.896,0.5,0.0100457
0.5,0.904,0.5,0.0110152
0.5,0.912,0.5,0.0121898
0.5,0.92,0.5,0.0136102
0.5,0.928,0.5,0.0153205
0.5,0.936,0.5,0.0173643
0.5,0.944,0.5,0.0197831
0.5,0.952,0.5,0.0226106
0.5,0.96,0.5,0.0258667
0.5,0.968,0.5,0.0295522
0.5,0.976,0.5,0.0336414
0.5,0.984,0.5,0.0380769
0.5,0.992,0.5,0.0427667
0.5,1,0.5,0.0475864
