X,Y,Z
75,0,0
74.7146,-6.53668,1.45143e-15
73.8606,-13.0236,2.89182e-15
72.4444,-19.4114,4.3102e-15
70.4769,-25.6515,5.69578e-15
67.9731,-31.6964,7.03801e-15
64.9519,-37.5,8.32667e-15
61.4364,-43.0182,9.55197e-15
57.4533,-48.2091,1.07046e-14
53.033,-53.033,1.17757e-14
48.2091,-57.4533,1.27572e-14
43.0182,-61.4364,1.36416e-14
37.5,-64.9519,1.44222e-14
31.6964,-67.9731,1.50931e-14
25.6515,-70.4769,1.5649e-14
19.4114,-72.4444,1.60859e-14
13.0236,-73.8606,1.64003e-14
6.53668,-74.7146,1.659e-14
0,-75,1.66533e-14
-6.53668,-74.7146,1.659e-14
-13.0236,-73.8606,1.64003e-14
-19.4114,-72.4444,1.60859e-14
-25.6515,-70.4769,1.5649e-14
-31.6964,-67.9731,1.50931e-14
-37.5,-64.9519,1.44222e-14
-43.0182,-61.4364,1.36416e-14
-48.2091,-57.4533,1.27572e-14
-53.033,-53.033,1.17757e-14
-57.4533,-48.2091,1.07046e-14
-61.4364,-43.0182,9.55197e-15
-64.9519,-37.5,8.32667e-15
-67.9731,-31.6964,7.03801e-15
-70.4769,-25.6515,5.69578e-15
-72.4444,-19.4114,4.3102e-15
-73.8606,-13.0236,2.89182e-15
-74.7146,-6.53668,1.45143e-15
-75,0,0
-74.7146,6.53668,-1.45143e-15
-73.8606,13.0236,-2.89182e-15
-72.4444,19.4114,-4.3102e-15
-70.4769,25.6515,-5.69578e-15
-67.9731,31.6964,-7.03801e-15
-64.9519,37.5,-8.32667e-15
-61.4364,43.0182,-9.55197e-15
-57.4533,48.2091,-1.07046e-14
-53.033,53.033,-1.17757e-14
-48.2091,57.4533,-1.27572e-14
-43.0182,61.4364,-1.36416e-14
-37.5,64.9519,-1.44222e-14
-31.6964,67.9731,-1.50931e-14
-25.6515,70.4769,-1.5649e-14
-19.4114,72.4444,-1.60859e-14
-13.0236,73.8606,-1.64003e-14
-6.53668,74.7146,-1.659e-14
0,75,-1.66533e-14
6.53668,74.7146,-1.659e-14
13.0236,73.8606,-1.64003e-14
19.4114,72.4444,-1.60859e-14
25.6515,70.4769,-1.5649e-14
31.6964,67.9731,-1.50931e-14
37.5,64.9519,-1.44222e-14
43.0182,61.4364,-1.36416e-14
48.2091,57.4533,-1.27572e-14
53.033,53.033,-1.17757e-14
57.4533,48.2091,-1.07046e-14
61.4364,43.0182,-9.55197e-15
64.9519,37.5,-8.32667e-15
67.9731,31.6964,-7.03801e-15
70.4769,25.6515,-5.69578e-15
72.4444,19.4114,-4.3102e-15
73.8606,13.0236,-2.89182e-15
74.7146,6.53668,-1.45143e-15
