X,Y,Z
3.0,0.0,0.0
2.988584,0.261467,0.0
2.954423,0.520945,0.0
2.897777,0.776457,0.0
2.819078,1.02606,0.0
2.718923,1.267855,0.0
2.598076,1.5,0.0
2.457456,1.720729,0.0
2.298133,1.928363,0.0
2.12132,2.12132,0.0
1.928363,2.298133,0.0
1.720729,2.457456,0.0
1.5,2.598076,0.0
1.267855,2.718923,0.0
1.02606,2.819078,0.0
0.776457,2.897777,0.0
0.520945,2.954423,0.0
0.261467,2.988584,0.0
0.0,3.0,0.0
-0.261467,2.988584,0.0
-0.520945,2.954423,0.0
-0.776457,2.897777,0.0
-1.02606,2.819078,0.0
-1.267855,2.718923,0.0
-1.5,2.598076,0.0
-1.720729,2.457456,0.0
-1.928363,2.298133,0.0
-2.12132,2.12132,0.0
-2.298133,1.928363,0.0
-2.457456,1.720729,0.0
-2.598076,1.5,0.0
-2.718923,1.267855,0.0
-2.819078,1.02606,0.0
-2.897777,0.776457,0.0
-2.954423,0.520945,0.0
-2.988584,0.261467,0.0
-3.0,0.0,0.0
-2.988584,-0.261467,0.0
-2.954423,-0.520945,0.0
-2.897777,-0.776457,0.0
-2.819078,-1.02606,0.0
-2.718923,-1.267855,0.0
-2.598076,-1.5,0.0
-2.457456,-1.720729,0.0
-2.298133,-1.928363,0.0
-2.12132,-2.12132,0.0
-1.928363,-2.298133,0.0
-1.720729,-2.457456,0.0
-1.5,-2.598076,0.0
-1.267855,-2.718923,0.0
-1.02606,-2.819078,0.0
-0.776457,-2.897777,0.0
-0.520945,-2.954423,0.0
-0.261467,-2.988584,0.0
-0.0,-3.0,0.0
0.261467,-2.988584,0.0
0.520945,-2.954423,0.0
0.776457,-2.897777,0.0
1.02606,-2.819078,0.0
1.267855,-2.718923,0.0
1.5,-2.598076,0.0
1.720729,-2.457456,0.0
1.928363,-2.298133,0.0
2.12132,-2.12132,0.0
2.298133,-1.928363,0.0
2.457456,-1.720729,0.0
2.598076,-1.5,0.0
2.718923,-1.267855,0.0
2.819078,-1.02606,0.0
2.897777,-0.776457,0.0
2.954423,-0.520945,0.0
2.988584,-0.261467,0.0
