X,Y,Z
0.51,0,0
0.509689,-0.017799,3.95217e-18
0.508758,-0.035576,7.89946e-18
0.507206,-0.05331,1.18372e-17
0.505037,-0.070978,1.57603e-17
0.502252,-0.088561,1.96645e-17
0.498855,-0.106035,2.35445e-17
0.494851,-0.12338,2.73959e-17
0.490243,-0.140575,3.12139e-17
0.485039,-0.157599,3.4994e-17
0.479243,-0.17443,3.87312e-17
0.472864,-0.191049,4.24214e-17
0.465908,-0.207436,4.606e-17
0.458385,-0.223569,4.96423e-17
0.450303,-0.23943,5.31641e-17
0.441673,-0.255,5.66214e-17
0.432505,-0.270259,6.00096e-17
0.422809,-0.285188,6.33245e-17
0.412599,-0.29977,6.65623e-17
0.401885,-0.313987,6.97191e-17
0.390683,-0.327822,7.27911e-17
0.379004,-0.341257,7.57743e-17
0.366863,-0.354276,7.86651e-17
0.354276,-0.366863,8.14599e-17
0.341257,-0.379004,8.41558e-17
0.327822,-0.390683,8.67491e-17
0.313987,-0.401885,8.92364e-17
0.29977,-0.412599,9.16154e-17
0.285188,-0.422809,9.38825e-17
0.270259,-0.432505,9.60354e-17
0.255,-0.441673,9.80711e-17
0.23943,-0.450303,9.99874e-17
0.223569,-0.458385,1.01782e-16
0.207436,-0.465908,1.03452e-16
0.191049,-0.472864,1.04997e-16
0.17443,-0.479243,1.06413e-16
0.157599,-0.485039,1.077e-16
0.140575,-0.490243,1.08856e-16
0.12338,-0.494851,1.09879e-16
0.106035,-0.498855,1.10768e-16
0.088561,-0.502252,1.11522e-16
0.070978,-0.505037,1.12141e-16
0.05331,-0.507206,1.12622e-16
0.035576,-0.508758,1.12967e-16
0.017799,-0.509689,1.13174e-16
0,-0.51,1.13243e-16
-0.017799,-0.509689,1.13174e-16
-0.035576,-0.508758,1.12967e-16
-0.05331,-0.507206,1.12622e-16
-0.070978,-0.505037,1.12141e-16
-0.088561,-0.502252,1.11522e-16
-0.106035,-0.498855,1.10768e-16
-0.12338,-0.494851,1.09879e-16
-0.140575,-0.490243,1.08856e-16
-0.157599,-0.485039,1.077e-16
-0.17443,-0.479243,1.06413e-16
-0.191049,-0.472864,1.04997e-16
-0.207436,-0.465908,1.03452e-16
-0.223569,-0.458385,1.01782e-16
-0.23943,-0.450303,9.99874e-17
-0.255,-0.441673,9.80711e-17
-0.270259,-0.432505,9.60354e-17
-0.285188,-0.422809,9.38825e-17
-0.29977,-0.412599,9.16154e-17
-0.313987,-0.401885,8.92364e-17
-0.327822,-0.390683,8.67491e-17
-0.341257,-0.379004,8.41558e-17
-0.354276,-0.366863,8.14599e-17
-0.366863,-0.354276,7.86651e-17
-0.379004,-0.341257,7.57743e-17
-0.390683,-0.327822,7.27911e-17
-0.401885,-0.313987,6.97191e-17
-0.412599,-0.29977,6.65623e-17
-0.422809,-0.285188,6.33245e-17
-0.432505,-0.270259,6.00096e-17
-0.441673,-0.255,5.66214e-17
-0.450303,-0.23943,5.31641e-17
-0.458385,-0.223569,4.96423e-17
-0.465908,-0.207436,4.606e-17
-0.472864,-0.191049,4.24214e-17
-0.479243,-0.17443,3.87312e-17
-0.485039,-0.157599,3.4994e-17
-0.490243,-0.140575,3.12139e-17
