X,Y,Z
20.0,0.0,0.0
19.923894,1.743115,0.0
19.696155,3.472964,0.0
19.318517,5.176381,0.0
18.793852,6.840403,0.0
18.126156,8.452365,0.0
17.320508,10.0,0.0
16.383041,11.471529,0.0
15.320889,12.855752,0.0
14.142136,14.142136,0.0
12.855752,15.320889,0.0
11.471529,16.383041,0.0
10.0,17.320508,0.0
8.452365,18.126156,0.0
6.840403,18.793852,0.0
5.176381,19.318517,0.0
3.472964,19.696155,0.0
1.743115,19.923894,0.0
0.0,20.0,0.0
-1.743115,19.923894,0.0
-3.472964,19.696155,0.0
-5.176381,19.318517,0.0
-6.840403,18.793852,0.0
-8.452365,18.126156,0.0
-10.0,17.320508,0.0
-11.471529,16.383041,0.0
-12.855752,15.320889,0.0
-14.142136,14.142136,0.0
-15.320889,12.855752,0.0
-16.383041,11.471529,0.0
-17.320508,10.0,0.0
-18.126156,8.452365,0.0
-18.793852,6.840403,0.0
-19.318517,5.176381,0.0
-19.696155,3.472964,0.0
-19.923894,1.743115,0.0
-20.0,0.0,0.0
-19.923894,-1.743115,0.0
-19.696155,-3.472964,0.0
-19.318517,-5.176381,0.0
-18.793852,-6.840403,0.0
-18.126156,-8.452365,0.0
-17.320508,-10.0,0.0
-16.383041,-11.471529,0.0
-15.320889,-12.855752,0.0
-14.142136,-14.142136,0.0
-12.855752,-15.320889,0.0
-11.471529,-16.383041,0.0
-10.0,-17.320508,0.0
-8.452365,-18.126156,0.0
-6.840403,-18.793852,0.0
-5.176381,-19.318517,0.0
-3.472964,-19.696155,0.0
-1.743115,-19.923894,0.0
-0.0,-20.0,0.0
1.743115,-19.923894,0.0
3.472964,-19.696155,0.0
5.176381,-19.318517,0.0
6.840403,-18.793852,0.0
8.452365,-18.126156,0.0
10.0,-17.320508,0.0
11.471529,-16.383041,0.0
12.855752,-15.320889,0.0
14.142136,-14.142136,0.0
15.320889,-12.855752,0.0
16.383041,-11.471529,0.0
17.320508,-10.0,0.0
18.126156,-8.452365,0.0
18.793852,-6.840403,0.0
19.318517,-5.176381,0.0
19.696155,-3.472964,0.0
19.923894,-1.743115,0.0
